MachineID,Vibration_Hz,Temperature_C,Pressure_PSI,Acoustic_Noise_dB,Rotation_RPM,Power_Consumption_kW,reference_label,Anomaly_Base,Anomaly_Base_Binary,Anomaly_Base_Score,Final_Anomaly,Final_Anomaly_Binary,Final_Anomaly_Score,Final_Status
M-SENS-4001,107.65,27.2,148.7,96.3,1020,31.73,1,-1,1,-0.02145110789530169,-1,1,-0.020189509844437237,Anomaly
M-SENS-4011,107.77,20.8,46.5,114.7,2393,23.8,1,-1,1,-0.02057701552449931,-1,1,-0.017000990407412875,Anomaly
M-SENS-4034,92.03,105.5,155.4,102.9,2403,3.95,1,-1,1,-0.028962179544246625,-1,1,-0.019544923494394628,Anomaly
M-SENS-4050,5.77,93.3,46.7,112.5,2220,24.5,1,-1,1,-0.005317364139942771,-1,1,-0.0030038128265619246,Anomaly
M-SENS-4069,9.31,28.4,49.0,109.6,2277,29.04,1,-1,1,-0.0035028987324732253,-1,1,-0.0052385340124059265,Anomaly
M-SENS-4139,124.42,23.2,172.1,86.8,775,28.3,1,-1,1,-0.039632079570339096,-1,1,-0.04359110864090687,Anomaly
M-SENS-4140,116.28,21.1,33.0,105.7,879,5.46,1,-1,1,-0.02131352511309803,-1,1,-0.017000990407412875,Anomaly
M-SENS-4154,12.81,113.7,150.0,96.2,2459,4.1,1,-1,1,-0.016218430954269225,-1,1,-0.013181956550564422,Anomaly
M-SENS-4226,16.83,99.5,183.6,88.0,2733,29.81,1,-1,1,-0.009189804747097852,-1,1,-0.008614973691119632,Anomaly
M-SENS-4241,104.96,34.3,189.8,98.2,2708,26.05,1,-1,1,-0.02687514128926516,-1,1,-0.01661280116411734,Anomaly
M-SENS-4247,89.99,115.0,39.0,88.4,645,22.65,1,-1,1,-0.03145257803086521,-1,1,-0.028297146026895592,Anomaly
M-SENS-4261,106.25,118.3,158.3,88.8,1084,5.85,1,-1,1,-0.028610816584355825,-1,1,-0.02731803417631984,Anomaly
M-SENS-4305,12.52,100.3,183.3,85.4,2604,22.26,1,-1,1,-0.010240394360314875,-1,1,-0.004411440555005752,Anomaly
M-SENS-4313,13.99,95.0,145.7,101.9,903,4.08,1,-1,1,-0.014104533881444836,-1,1,-0.0190651011344517,Anomaly
M-SENS-4324,16.78,24.5,44.1,112.8,958,4.64,1,-1,1,-0.012117107018077444,-1,1,-0.01357984369268439,Anomaly
M-SENS-4366,13.04,33.2,38.3,87.4,2644,3.13,1,-1,1,-0.006970576199769152,-1,1,-0.004828209289019503,Anomaly
M-SENS-4411,121.38,24.1,33.6,87.3,2452,4.63,1,-1,1,-0.02283983521518551,-1,1,-0.018083185518727007,Anomaly
M-SENS-4412,14.29,110.6,155.1,103.4,2763,30.43,1,-1,1,-0.009771766591572084,-1,1,-0.008543146171790306,Anomaly
M-SENS-4469,12.54,27.2,40.8,93.3,574,4.3,1,-1,1,-0.02180494692968704,-1,1,-0.021916535699677886,Anomaly
M-SENS-4471,121.44,33.1,38.4,95.5,514,22.71,1,-1,1,-0.031952714754796774,-1,1,-0.028854412529649154,Anomaly
M-SENS-4475,120.45,99.5,173.1,90.5,732,27.01,1,-1,1,-0.03761494184177061,-1,1,-0.03531120273965227,Anomaly
M-SENS-4478,6.47,119.1,174.1,102.7,770,3.51,1,-1,1,-0.04558729166432485,-1,1,-0.04812640720113781,Anomaly
M-SENS-4498,114.84,92.6,56.4,94.6,2234,24.87,1,-1,1,-0.0181999336719465,-1,1,-0.017000990407412875,Anomaly
M-SENS-4499,94.43,31.4,50.4,91.3,2785,27.02,1,-1,1,-0.010293811947732934,-1,1,-0.010559597436216595,Anomaly
M-SENS-4518,114.19,20.7,39.6,94.3,655,3.22,1,-1,1,-0.030210190040901863,-1,1,-0.023397696289784498,Anomaly
M-SENS-4522,16.24,124.8,178.8,96.8,2681,30.92,1,-1,1,-0.022074922674542585,-1,1,-0.017311509642490952,Anomaly
M-SENS-4531,12.55,113.6,46.4,108.8,2332,6.82,1,-1,1,-0.01539179688533554,-1,1,-0.015044065622733416,Anomaly
M-SENS-4532,16.02,97.9,45.1,88.3,728,28.22,1,-1,1,-0.009902980198012723,-1,1,-0.009447682751308695,Anomaly
M-SENS-4540,13.02,116.1,159.8,88.4,801,29.77,1,-1,1,-0.02136446822771365,-1,1,-0.023994659268453233,Anomaly
M-SENS-4581,8.46,22.5,58.6,102.5,2730,6.18,1,1,0,0.00013147510960631603,-1,1,-0.0009142963859309905,Anomaly
