MachineID,Vibration_Hz,Temperature_C,Pressure_PSI,Acoustic_Noise_dB,Rotation_RPM,Power_Consumption_kW
M-SENS-4000,46.14,61.8,101.5,51.9,1725,13.24
M-SENS-4001,107.65,27.2,148.7,96.3,1020,31.73
M-SENS-4002,50.8,65.3,105.8,52.7,1830,14.4
M-SENS-4003,49.4,61.9,104.4,57.0,1697,12.87
M-SENS-4004,49.03,63.0,103.3,51.1,1679,14.37
M-SENS-4005,46.78,56.6,108.7,51.1,1865,13.7
M-SENS-4006,49.41,71.6,109.4,61.0,1681,13.29
M-SENS-4007,48.79,68.4,101.9,50.1,1772,14.04
M-SENS-4008,47.28,55.9,106.0,55.4,1830,14.14
M-SENS-4009,49.98,68.3,93.3,62.9,1730,14.6
M-SENS-4010,50.24,61.7,111.2,55.8,1740,14.31
M-SENS-4011,107.77,20.8,46.5,114.7,2393,23.8
M-SENS-4012,45.47,74.7,93.1,51.9,1757,14.27
M-SENS-4013,49.71,71.3,101.4,55.3,1723,14.67
M-SENS-4014,46.89,63.7,104.7,58.1,1650,14.49
M-SENS-4015,47.05,68.8,100.7,58.9,1719,12.42
M-SENS-4016,51.68,61.6,94.1,55.0,1739,14.86
M-SENS-4017,51.12,65.4,97.6,55.9,1757,14.66
M-SENS-4018,44.94,63.4,104.5,58.7,1793,14.27
M-SENS-4019,46.29,66.6,96.5,52.5,1817,14.52
M-SENS-4020,46.78,68.3,108.4,53.7,1730,13.76
M-SENS-4021,51.37,68.9,108.9,58.0,1676,14.42
M-SENS-4022,44.3,62.9,102.9,57.5,1709,12.34
M-SENS-4023,48.63,75.6,101.0,55.1,1830,14.67
M-SENS-4024,48.76,66.8,103.3,51.6,1689,15.71
M-SENS-4025,48.64,65.4,101.5,57.3,1864,14.62
M-SENS-4026,45.94,64.5,107.4,53.3,1788,12.34
M-SENS-4027,47.2,67.5,108.4,52.5,1682,13.99
M-SENS-4028,44.06,64.4,102.0,51.0,1786,14.07
M-SENS-4029,51.78,57.6,96.9,56.6,1714,14.07
M-SENS-4030,48.0,65.6,98.6,55.4,1714,14.74
M-SENS-4031,47.6,65.6,114.8,51.7,1812,12.07
M-SENS-4032,40.73,60.0,96.1,55.6,1763,14.0
M-SENS-4033,47.48,67.1,106.2,51.0,1733,14.14
M-SENS-4034,92.03,105.5,155.4,102.9,2403,3.95
M-SENS-4035,52.37,66.7,100.6,51.8,1722,13.99
M-SENS-4036,52.77,68.1,103.7,57.6,1773,14.41
M-SENS-4037,42.75,69.6,99.7,58.3,1803,13.66
M-SENS-4038,51.32,63.6,100.2,55.8,1762,14.23
M-SENS-4039,43.33,64.5,113.4,46.6,1789,15.05
M-SENS-4040,43.25,63.1,97.0,60.6,1799,15.12
M-SENS-4041,48.42,70.2,102.0,59.1,1743,13.66
M-SENS-4042,54.34,64.9,97.5,52.3,1709,14.88
M-SENS-4043,47.65,74.2,107.9,55.8,1813,13.8
M-SENS-4044,41.51,61.0,102.7,54.3,1787,14.1
M-SENS-4045,50.62,71.0,101.4,56.7,1671,14.1
